State,County,Crash_Date,Crash_Time,Day_of_Week,Location_Type,Weather_Conditions,Road_Condition,Number_of_Vehicles,Vehicle_Type_1,Vehicle_Type_2,EV_Indicator_1,EV_Indicator_2,Driver_Age_1,Driver_Age_2,Driver_Gender_1,Driver_Gender_2,Crash_Severity,Crash_Cause,Fatalities,Injuries,Alcohol_Involvement,Speeding,Police_Report_Filed,Vehicle_Make_1,Vehicle_Make_2,Year_of_Vehicle_1,Year_of_Vehicle_2,Crash_Year
KY,County 59,8/7/21,13:44,Saturday,Residential,Rain,Wet,3,SUV,Sedan,No,No,23,56.0,Male,Male,No Injury,Weather,0,0,Yes,Yes,Yes,Ford,Tesla,2019,2002.0,2021
KS,County 52,9/2/20,18:15,Friday,Urban,Windy,Dry,4,EV,EV,Yes,Yes,56,49.0,Male,Female,Severe Injury,Distracted Driving,0,6,Yes,No,No,Nissan,Tesla,2000,2014.0,2020
OR,County 13,5/30/20,17:13,Friday,Highway,Rain,Icy,1,SUV,,Yes,,63,,Female,,Severe Injury,Mechanical Failure,0,8,No,Yes,No,Tesla,,2004,,2020
CT,County 96,2/7/23,4:17,Wednesday,Rural,Snow,Wet,3,EV,Motorcycle,Yes,No,48,22.0,Male,Female,Minor Injury,Speeding,0,0,Yes,No,Yes,Honda,Ford,2023,2014.0,2023
NV,County 72,1/20/20,3:04,Saturday,Rural,Windy,Dry,3,EV,EV,Yes,Yes,34,71.0,Male,Male,Minor Injury,Distracted Driving,0,0,Yes,No,Yes,Chevrolet,Tesla,2011,2017.0,2020
NE,County 80,11/12/20,7:55,Tuesday,Rural,Fog,Dry,2,Truck,Motorcycle,No,No,47,50.0,Male,Male,No Injury,Speeding,0,0,No,Yes,Yes,Audi,Nissan,2009,2007.0,2020
TX,County 25,3/27/22,10:17,Sunday,Urban,Snow,Icy,5,Motorcycle,EV,No,Yes,58,19.0,Male,Female,Severe Injury,Weather,0,4,Yes,Yes,No,Nissan,Nissan,2013,2019.0,2022
DE,County 50,3/26/23,6:16,Monday,Residential,Clear,Construction Zone,5,SUV,Truck,No,No,71,24.0,Female,Female,Fatal,Fatigue,2,8,No,No,No,BMW,Honda,2017,2004.0,2023
TX,County 49,10/19/23,23:57,Tuesday,Highway,Fog,Construction Zone,1,Truck,,No,,52,,Male,,No Injury,Weather,0,0,No,No,No,Audi,,2021,,2023
NM,County 95,12/13/20,21:05,Wednesday,Highway,Clear,Wet,3,SUV,SUV,Yes,No,34,19.0,Male,Male,No Injury,Weather,0,0,Yes,No,No,Kia,Chevrolet,2022,2022.0,2020
MT,County 32,10/29/20,20:44,Monday,Urban,Fog,Wet,2,EV,Motorcycle,Yes,No,22,47.0,Male,Female,Severe Injury,Mechanical Failure,0,10,No,No,No,Hyundai,Audi,2005,2023.0,2020
NH,County 34,5/21/21,20:17,Sunday,Residential,Rain,Icy,4,Sedan,Truck,No,No,46,50.0,Female,Female,Fatal,DUI,1,3,No,Yes,Yes,Tesla,BMW,2013,2010.0,2021
NE,County 8,2/27/21,13:24,Sunday,Urban,Windy,Gravel,4,Sedan,Truck,No,No,54,65.0,Female,Male,No Injury,DUI,0,0,No,No,No,Toyota,BMW,2010,2021.0,2021
MT,County 93,12/4/20,14:58,Tuesday,Urban,Fog,Construction Zone,5,Sedan,Sedan,No,No,70,33.0,Female,Male,Fatal,Distracted Driving,3,5,Yes,No,No,Nissan,BMW,2008,2013.0,2020
CO,County 61,2/9/20,23:34,Monday,Highway,Rain,Dry,1,Sedan,,No,,47,,Male,,Fatal,Weather,1,3,Yes,No,Yes,Kia,,2006,,2020
KY,County 99,1/25/22,5:38,Friday,Urban,Rain,Icy,1,EV,,Yes,,19,,Female,,No Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Tesla,,2022,,2022
UT,County 77,9/4/20,18:50,Monday,Highway,Windy,Gravel,3,Sedan,EV,No,Yes,59,17.0,Female,Female,Fatal,Mechanical Failure,2,10,No,Yes,No,Ford,Hyundai,2020,2008.0,2020
OH,County 100,9/17/22,14:27,Sunday,Highway,Snow,Wet,1,Truck,,Yes,,73,,Male,,No Injury,Weather,0,0,No,No,Yes,Audi,,2010,,2022
IN,County 46,6/13/21,10:17,Friday,Highway,Windy,Dry,5,SUV,Sedan,No,No,46,68.0,Female,Male,No Injury,Fatigue,0,0,No,No,Yes,Tesla,Honda,2007,2012.0,2021
MD,County 85,4/6/23,11:30,Friday,Highway,Fog,Construction Zone,3,Truck,Motorcycle,Yes,No,50,55.0,Female,Male,Fatal,Fatigue,1,5,Yes,Yes,Yes,Chevrolet,Audi,2008,2023.0,2023
WI,County 68,5/7/23,9:06,Sunday,Rural,Snow,Wet,3,SUV,Truck,Yes,No,17,32.0,Female,Male,Fatal,Weather,2,2,No,Yes,Yes,Kia,Honda,2015,2015.0,2023
ID,County 7,6/1/21,15:07,Sunday,Urban,Fog,Gravel,1,EV,,Yes,,22,,Male,,Severe Injury,Weather,0,4,Yes,Yes,Yes,Hyundai,,2013,,2021
SC,County 29,12/6/22,12:28,Thursday,Highway,Windy,Gravel,3,EV,EV,Yes,Yes,23,28.0,Male,Male,Minor Injury,Fatigue,0,0,Yes,Yes,Yes,Ford,Hyundai,2002,2005.0,2022
VT,County 77,8/20/22,9:02,Tuesday,Highway,Snow,Gravel,1,SUV,,No,,49,,Male,,No Injury,Speeding,0,0,Yes,Yes,No,Ford,,2002,,2022
RI,County 96,3/11/23,9:28,Monday,Residential,Snow,Gravel,3,EV,EV,Yes,Yes,79,72.0,Male,Male,No Injury,Fatigue,0,0,No,No,Yes,Tesla,Chevrolet,2021,2018.0,2023
AK,County 98,10/8/23,8:36,Monday,Rural,Fog,Construction Zone,4,Truck,SUV,No,No,71,78.0,Male,Female,Minor Injury,Mechanical Failure,0,0,No,No,Yes,Ford,Nissan,2013,2022.0,2023
TX,County 52,1/31/23,1:29,Monday,Highway,Snow,Icy,1,Motorcycle,,No,,16,,Female,,No Injury,Speeding,0,0,Yes,No,No,Audi,,2001,,2023
OK,County 17,8/12/21,14:56,Saturday,Residential,Clear,Dry,5,SUV,SUV,No,No,55,17.0,Female,Male,Severe Injury,Speeding,0,7,Yes,Yes,No,Honda,Hyundai,2022,2008.0,2021
NM,County 61,5/14/21,14:35,Tuesday,Residential,Rain,Construction Zone,5,SUV,Sedan,No,No,51,69.0,Female,Female,Fatal,Distracted Driving,5,4,No,Yes,No,Hyundai,Audi,2011,2010.0,2021
OH,County 49,7/21/22,10:55,Tuesday,Rural,Windy,Gravel,2,Motorcycle,Sedan,Yes,No,56,76.0,Female,Female,Severe Injury,Mechanical Failure,0,0,Yes,No,Yes,Audi,Tesla,2016,2014.0,2022
NE,County 84,11/12/20,2:30,Sunday,Highway,Snow,Construction Zone,4,Sedan,Truck,No,No,64,56.0,Female,Male,Fatal,DUI,5,10,No,Yes,Yes,BMW,Tesla,2020,2022.0,2020
NH,County 22,11/22/23,9:57,Monday,Urban,Snow,Dry,3,Truck,Truck,Yes,No,71,34.0,Male,Female,Severe Injury,DUI,0,2,Yes,No,Yes,Audi,Kia,2004,2007.0,2023
KY,County 59,6/6/21,21:00,Sunday,Residential,Snow,Construction Zone,2,Sedan,Motorcycle,No,No,60,54.0,Female,Female,No Injury,Distracted Driving,0,0,Yes,No,No,Tesla,Chevrolet,2012,2018.0,2021
ME,County 90,8/27/21,0:53,Saturday,Residential,Snow,Dry,5,Sedan,EV,Yes,Yes,79,52.0,Male,Female,Severe Injury,Fatigue,0,3,No,Yes,Yes,Toyota,Honda,2014,2001.0,2021
WA,County 17,7/3/20,9:20,Saturday,Residential,Rain,Wet,2,EV,Truck,Yes,No,80,50.0,Male,Female,No Injury,Distracted Driving,0,0,No,Yes,No,Tesla,Ford,2007,2021.0,2020
MT,County 72,1/19/22,2:50,Thursday,Urban,Snow,Construction Zone,1,Motorcycle,,No,,63,,Female,,No Injury,Fatigue,0,0,No,Yes,Yes,Audi,,2000,,2022
OK,County 42,6/3/23,7:41,Monday,Residential,Snow,Gravel,1,SUV,,No,,21,,Male,,Minor Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Hyundai,,2004,,2023
MS,County 86,11/27/23,17:26,Friday,Rural,Fog,Dry,4,EV,Motorcycle,Yes,No,51,20.0,Female,Male,No Injury,Mechanical Failure,0,0,Yes,No,Yes,Nissan,Hyundai,2020,2011.0,2023
IL,County 16,7/20/22,2:42,Tuesday,Urban,Clear,Icy,2,SUV,EV,No,Yes,42,24.0,Male,Male,Severe Injury,Distracted Driving,0,2,Yes,No,Yes,Ford,Hyundai,2008,2005.0,2022
AK,County 17,1/31/20,11:50,Sunday,Rural,Windy,Icy,1,SUV,,No,,49,,Male,,Severe Injury,Fatigue,0,6,Yes,Yes,No,Audi,,2011,,2020
CT,County 58,10/28/22,7:39,Monday,Highway,Fog,Dry,1,Motorcycle,,No,,67,,Female,,Fatal,Mechanical Failure,5,7,Yes,Yes,No,Kia,,2004,,2022
SC,County 82,4/13/23,17:45,Wednesday,Residential,Windy,Construction Zone,3,Motorcycle,EV,No,Yes,71,28.0,Male,Male,No Injury,Mechanical Failure,0,0,Yes,No,No,Audi,BMW,2013,2023.0,2023
MA,County 86,6/6/21,11:09,Saturday,Residential,Clear,Dry,1,Sedan,,No,,71,,Male,,Minor Injury,DUI,0,0,Yes,No,Yes,BMW,,2011,,2021
WI,County 55,4/15/20,9:38,Wednesday,Highway,Clear,Construction Zone,5,SUV,SUV,No,No,77,44.0,Male,Female,Minor Injury,Speeding,0,0,No,Yes,No,Hyundai,Kia,2019,2021.0,2020
AK,County 78,9/9/23,22:17,Monday,Rural,Snow,Icy,3,Truck,Sedan,No,No,39,34.0,Female,Male,Severe Injury,Fatigue,0,10,Yes,Yes,Yes,BMW,BMW,2014,2010.0,2023
MD,County 93,10/26/21,18:38,Monday,Urban,Rain,Wet,5,Sedan,Sedan,Yes,No,50,72.0,Female,Female,No Injury,Mechanical Failure,0,0,No,Yes,Yes,Nissan,BMW,2003,2009.0,2021
PA,County 63,12/15/22,21:19,Monday,Rural,Fog,Construction Zone,1,Sedan,,No,,42,,Female,,Severe Injury,DUI,0,4,No,No,Yes,Toyota,,2015,,2022
ID,County 17,2/17/22,17:45,Tuesday,Highway,Clear,Gravel,1,Motorcycle,,No,,18,,Female,,Fatal,Distracted Driving,4,6,No,No,No,Tesla,,2012,,2022
HI,County 80,7/31/22,22:58,Wednesday,Urban,Fog,Dry,2,Motorcycle,EV,No,Yes,67,26.0,Female,Female,Minor Injury,DUI,0,0,No,Yes,Yes,Hyundai,Tesla,2016,2016.0,2022
WY,County 45,12/20/21,23:52,Saturday,Rural,Rain,Dry,2,Truck,SUV,No,No,38,35.0,Male,Male,No Injury,Mechanical Failure,0,0,No,No,No,Ford,Audi,2002,2015.0,2021
MD,County 36,4/26/23,1:22,Friday,Urban,Snow,Gravel,4,Sedan,Sedan,No,No,63,52.0,Male,Male,No Injury,Mechanical Failure,0,0,Yes,No,Yes,Nissan,Kia,2015,2016.0,2023
AR,County 58,7/30/20,10:45,Monday,Rural,Clear,Wet,4,Motorcycle,EV,No,Yes,36,62.0,Female,Female,No Injury,Mechanical Failure,0,0,No,Yes,No,Tesla,Nissan,2003,2017.0,2020
ME,County 33,9/6/23,19:55,Tuesday,Highway,Clear,Construction Zone,2,Truck,Truck,No,No,66,32.0,Male,Female,No Injury,Fatigue,0,0,No,Yes,Yes,BMW,Hyundai,2011,2000.0,2023
ID,County 28,11/30/21,15:12,Tuesday,Rural,Rain,Dry,3,Sedan,EV,No,Yes,20,59.0,Male,Female,Severe Injury,DUI,0,2,Yes,No,Yes,BMW,Nissan,2021,2023.0,2021
NH,County 79,8/6/21,23:50,Thursday,Rural,Windy,Wet,3,Motorcycle,SUV,No,No,63,72.0,Female,Female,No Injury,Weather,0,0,No,Yes,Yes,Kia,Ford,2008,2001.0,2021
MS,County 71,7/29/20,22:54,Friday,Urban,Snow,Dry,2,Truck,Motorcycle,Yes,No,34,71.0,Male,Male,No Injury,Distracted Driving,0,0,Yes,No,Yes,BMW,Hyundai,2011,2007.0,2020
CO,County 48,4/4/21,0:20,Monday,Highway,Rain,Wet,1,Truck,,No,,76,,Male,,No Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Honda,,2006,,2021
OK,County 94,5/31/23,16:27,Monday,Highway,Rain,Icy,1,Sedan,,No,,46,,Female,,No Injury,Speeding,0,0,Yes,No,Yes,Hyundai,,2018,,2023
GA,County 38,5/29/22,0:39,Wednesday,Rural,Windy,Gravel,2,Sedan,EV,No,Yes,62,24.0,Male,Female,No Injury,Speeding,0,0,No,No,No,Toyota,Nissan,2002,2011.0,2022
TX,County 81,7/31/20,18:47,Sunday,Highway,Rain,Dry,3,EV,Truck,Yes,No,38,75.0,Female,Male,Severe Injury,Speeding,0,7,Yes,No,Yes,Toyota,Chevrolet,2001,2010.0,2020
NC,County 51,1/17/23,15:16,Monday,Rural,Snow,Icy,1,Truck,,No,,50,,Male,,Minor Injury,Mechanical Failure,0,0,No,No,No,Nissan,,2005,,2023
NY,County 48,11/29/22,8:51,Monday,Residential,Clear,Gravel,5,SUV,EV,No,Yes,53,57.0,Male,Male,Minor Injury,Fatigue,0,0,No,No,No,Kia,BMW,2005,2022.0,2022
NH,County 6,12/23/21,19:27,Wednesday,Urban,Clear,Gravel,3,EV,SUV,Yes,No,19,34.0,Female,Male,Severe Injury,Speeding,0,3,No,No,No,Kia,Toyota,2019,2004.0,2021
MS,County 48,6/28/22,2:36,Tuesday,Highway,Fog,Icy,3,SUV,Sedan,No,No,19,39.0,Female,Female,Fatal,Distracted Driving,2,7,Yes,No,No,Chevrolet,Tesla,2004,2002.0,2022
VA,County 57,6/28/20,21:54,Wednesday,Highway,Clear,Construction Zone,5,Truck,Truck,No,No,36,38.0,Female,Male,Fatal,DUI,1,3,No,Yes,No,Hyundai,Kia,2011,2014.0,2020
OK,County 17,6/7/23,2:04,Wednesday,Residential,Fog,Construction Zone,4,Motorcycle,EV,Yes,Yes,25,32.0,Female,Male,No Injury,Mechanical Failure,0,0,No,Yes,Yes,Ford,BMW,2016,2001.0,2023
ND,County 20,9/14/21,5:10,Wednesday,Rural,Snow,Construction Zone,3,Sedan,Truck,Yes,No,41,51.0,Male,Female,Fatal,Weather,5,2,Yes,Yes,No,Kia,Toyota,2000,2002.0,2021
TN,County 27,3/17/23,13:39,Saturday,Urban,Fog,Construction Zone,3,Truck,Motorcycle,No,No,47,67.0,Female,Female,Fatal,Fatigue,0,2,No,No,No,Audi,Chevrolet,2010,2019.0,2023
VA,County 41,12/8/21,12:08,Sunday,Highway,Windy,Construction Zone,1,Truck,,No,,46,,Female,,Fatal,Distracted Driving,3,3,Yes,Yes,Yes,Honda,,2012,,2021
NE,County 32,11/23/20,10:59,Friday,Highway,Rain,Wet,4,EV,Motorcycle,Yes,No,79,55.0,Female,Male,Fatal,Mechanical Failure,4,7,Yes,Yes,No,Toyota,Toyota,2009,2015.0,2020
TN,County 87,8/21/22,9:34,Monday,Urban,Fog,Wet,3,Truck,Motorcycle,No,No,62,21.0,Female,Male,Severe Injury,Distracted Driving,0,8,No,Yes,No,Hyundai,Audi,2017,2008.0,2022
SC,County 88,6/5/23,3:08,Monday,Residential,Snow,Icy,5,Truck,SUV,No,No,41,67.0,Male,Male,Fatal,DUI,5,5,No,No,Yes,Kia,Hyundai,2004,2010.0,2023
MA,County 21,3/15/22,19:47,Sunday,Highway,Windy,Icy,5,EV,EV,Yes,Yes,78,54.0,Female,Male,Minor Injury,Distracted Driving,0,0,Yes,No,No,Toyota,Kia,2015,2008.0,2022
WY,County 75,3/28/23,7:46,Monday,Residential,Rain,Construction Zone,5,Motorcycle,SUV,Yes,No,47,20.0,Male,Male,Fatal,Mechanical Failure,2,6,Yes,No,Yes,BMW,Hyundai,2019,2015.0,2023
WV,County 94,5/7/20,22:08,Friday,Rural,Windy,Icy,4,EV,Motorcycle,Yes,No,56,38.0,Female,Female,Minor Injury,Fatigue,0,0,No,No,Yes,Chevrolet,Honda,2017,2009.0,2020
MD,County 99,8/14/21,22:13,Saturday,Residential,Snow,Gravel,3,EV,Truck,Yes,No,52,31.0,Female,Female,Minor Injury,DUI,0,0,No,Yes,No,Tesla,Nissan,2014,2020.0,2021
NM,County 28,2/17/21,17:17,Friday,Highway,Rain,Dry,5,EV,SUV,Yes,No,47,22.0,Male,Male,Fatal,Speeding,3,5,No,Yes,Yes,Toyota,Hyundai,2005,2013.0,2021
NM,County 62,8/25/23,6:48,Wednesday,Highway,Snow,Dry,1,EV,,Yes,,45,,Male,,Severe Injury,Mechanical Failure,0,2,Yes,No,No,Ford,,2023,,2023
ME,County 5,1/19/20,9:36,Friday,Urban,Snow,Icy,4,EV,EV,Yes,Yes,79,33.0,Female,Female,Severe Injury,Speeding,0,5,Yes,No,No,Ford,Toyota,2023,2010.0,2020
OR,County 87,1/30/21,5:39,Sunday,Residential,Fog,Construction Zone,3,Sedan,Motorcycle,No,No,28,39.0,Male,Female,Minor Injury,DUI,0,0,Yes,No,No,Chevrolet,Audi,2008,2010.0,2021
WA,County 74,1/24/20,8:41,Wednesday,Rural,Clear,Dry,4,Truck,SUV,Yes,No,67,80.0,Female,Male,Minor Injury,Distracted Driving,0,0,Yes,Yes,Yes,Audi,Ford,2014,2023.0,2020
MS,County 54,12/8/23,17:58,Thursday,Rural,Rain,Construction Zone,1,EV,,Yes,,73,,Female,,Fatal,Weather,0,0,Yes,Yes,Yes,Nissan,,2016,,2023
UT,County 27,4/9/23,15:05,Friday,Residential,Clear,Gravel,2,EV,Motorcycle,Yes,No,74,23.0,Female,Female,Fatal,Mechanical Failure,2,0,Yes,Yes,Yes,BMW,Nissan,2022,2002.0,2023
AR,County 9,8/24/22,1:18,Thursday,Rural,Rain,Gravel,3,Motorcycle,Motorcycle,Yes,No,64,64.0,Male,Male,Minor Injury,Speeding,0,0,Yes,No,Yes,Chevrolet,Toyota,2000,2009.0,2022
WA,County 70,5/18/22,17:24,Sunday,Rural,Rain,Gravel,3,SUV,Truck,Yes,No,40,30.0,Male,Female,Fatal,DUI,1,1,Yes,Yes,No,Kia,Toyota,2007,2023.0,2022
IA,County 70,3/20/21,1:08,Friday,Highway,Rain,Construction Zone,3,EV,EV,Yes,Yes,57,46.0,Female,Male,Severe Injury,Mechanical Failure,0,4,No,Yes,Yes,BMW,Hyundai,2015,2001.0,2021
TN,County 86,2/19/22,16:20,Saturday,Residential,Fog,Wet,3,Motorcycle,SUV,No,No,76,46.0,Male,Female,Severe Injury,Mechanical Failure,0,0,No,No,Yes,BMW,Chevrolet,2008,2006.0,2022
CO,County 58,1/29/22,2:34,Saturday,Rural,Clear,Icy,4,EV,EV,Yes,Yes,21,25.0,Male,Male,No Injury,DUI,0,0,No,No,Yes,Chevrolet,Chevrolet,2023,2003.0,2022
WI,County 62,5/11/21,22:38,Saturday,Rural,Fog,Wet,5,Truck,Truck,No,No,64,75.0,Female,Female,Minor Injury,Distracted Driving,0,0,No,No,Yes,Audi,Nissan,2006,2011.0,2021
AZ,County 73,3/29/21,23:09,Monday,Highway,Windy,Construction Zone,5,Motorcycle,Truck,Yes,No,35,41.0,Female,Male,No Injury,Weather,0,0,Yes,No,No,Honda,Audi,2023,2020.0,2021
NJ,County 22,12/22/21,5:08,Saturday,Residential,Rain,Construction Zone,1,EV,,Yes,,20,,Male,,Fatal,Speeding,3,2,Yes,Yes,Yes,Toyota,,2006,,2021
MS,County 8,6/19/23,20:42,Friday,Residential,Fog,Dry,1,EV,,Yes,,68,,Male,,Fatal,Weather,5,4,No,Yes,No,Ford,,2003,,2023
ND,County 20,5/8/21,6:39,Friday,Highway,Snow,Icy,4,Sedan,Truck,Yes,No,67,74.0,Male,Male,Minor Injury,Fatigue,0,0,Yes,Yes,Yes,BMW,BMW,2012,2017.0,2021
SD,County 2,12/10/23,5:05,Thursday,Residential,Snow,Construction Zone,1,EV,,Yes,,21,,Male,,Severe Injury,Fatigue,0,9,No,No,Yes,Tesla,,2021,,2023
OH,County 73,9/9/23,1:11,Sunday,Highway,Clear,Wet,5,SUV,Motorcycle,No,No,25,54.0,Male,Male,No Injury,Fatigue,0,0,No,No,Yes,Tesla,Hyundai,2023,2011.0,2023
IA,County 10,11/28/21,19:49,Friday,Residential,Snow,Dry,3,Motorcycle,Motorcycle,Yes,No,45,61.0,Female,Female,Severe Injury,Fatigue,0,9,No,Yes,No,Chevrolet,Tesla,2002,2008.0,2021
VA,County 82,11/11/20,23:24,Wednesday,Highway,Clear,Dry,1,Truck,,Yes,,72,,Female,,Minor Injury,Speeding,0,0,Yes,Yes,Yes,BMW,,2014,,2020
NC,County 53,7/30/20,0:05,Wednesday,Urban,Windy,Construction Zone,3,Motorcycle,Sedan,No,No,53,68.0,Female,Male,Severe Injury,Weather,0,8,Yes,No,Yes,Ford,Honda,2009,2008.0,2020
CA,County 22,6/9/22,8:26,Wednesday,Residential,Clear,Icy,3,SUV,Motorcycle,No,No,41,74.0,Male,Male,Minor Injury,Speeding,0,0,No,No,No,Nissan,Audi,2010,2013.0,2022
TN,County 77,10/5/20,9:20,Friday,Rural,Fog,Icy,2,Motorcycle,Truck,No,No,53,78.0,Male,Female,No Injury,Distracted Driving,0,0,No,No,Yes,Kia,Chevrolet,2018,2017.0,2020
WY,County 71,2/25/20,23:29,Saturday,Rural,Fog,Icy,1,Motorcycle,,No,,79,,Male,,Minor Injury,DUI,0,0,No,Yes,No,BMW,,2002,,2020
RI,County 62,4/7/23,12:34,Friday,Residential,Windy,Dry,3,EV,EV,Yes,Yes,26,29.0,Male,Female,Severe Injury,Fatigue,0,9,Yes,No,No,BMW,Tesla,2000,2003.0,2023
NC,County 96,11/28/22,17:37,Saturday,Rural,Fog,Icy,4,Motorcycle,EV,No,Yes,80,35.0,Female,Male,No Injury,Speeding,0,0,No,No,Yes,Tesla,Ford,2011,2009.0,2022
IN,County 67,9/16/22,11:30,Monday,Residential,Fog,Icy,1,Truck,,No,,21,,Male,,Fatal,Distracted Driving,5,1,Yes,Yes,Yes,Hyundai,,2005,,2022
NV,County 60,4/19/21,12:40,Tuesday,Rural,Fog,Gravel,1,EV,,Yes,,41,,Female,,No Injury,Mechanical Failure,0,0,Yes,Yes,Yes,Honda,,2022,,2021
CA,County 74,7/27/20,17:11,Wednesday,Highway,Rain,Gravel,1,Truck,,No,,78,,Female,,No Injury,Weather,0,0,No,Yes,No,Nissan,,2014,,2020
UT,County 91,9/1/21,19:37,Monday,Rural,Snow,Dry,2,Truck,Sedan,No,No,39,63.0,Male,Female,No Injury,Weather,0,0,Yes,No,No,Ford,Audi,2020,2017.0,2021
TN,County 23,2/10/23,5:31,Wednesday,Rural,Rain,Icy,4,EV,Sedan,Yes,No,61,17.0,Female,Male,Severe Injury,Mechanical Failure,0,8,No,No,No,BMW,Audi,2015,2005.0,2023
WI,County 29,8/21/21,1:17,Tuesday,Highway,Rain,Gravel,5,Motorcycle,EV,Yes,Yes,30,30.0,Female,Female,Fatal,Fatigue,3,8,Yes,No,Yes,Chevrolet,Honda,2001,2014.0,2021
CO,County 57,8/28/20,7:13,Sunday,Highway,Windy,Gravel,2,EV,SUV,Yes,No,42,42.0,Male,Female,Minor Injury,Weather,0,0,Yes,No,No,Honda,Kia,2008,2016.0,2020
UT,County 13,10/4/20,13:58,Monday,Highway,Rain,Wet,2,SUV,Truck,Yes,No,47,66.0,Female,Male,Minor Injury,Fatigue,0,0,No,No,No,Tesla,Tesla,2012,2016.0,2020
VT,County 48,7/20/22,15:20,Friday,Urban,Clear,Gravel,3,Sedan,EV,No,Yes,66,43.0,Female,Male,No Injury,Distracted Driving,0,0,No,No,No,Hyundai,Kia,2004,2018.0,2022
MI,County 88,4/9/20,1:06,Saturday,Residential,Clear,Dry,2,Motorcycle,Motorcycle,No,No,16,70.0,Male,Male,Minor Injury,DUI,0,0,No,Yes,No,Honda,Tesla,2011,2021.0,2020
HI,County 7,3/22/22,20:19,Saturday,Rural,Fog,Dry,1,Sedan,,Yes,,43,,Female,,Fatal,DUI,4,3,No,Yes,Yes,Nissan,,2003,,2022
NV,County 89,9/27/20,15:04,Tuesday,Residential,Clear,Dry,1,Truck,,No,,63,,Female,,Severe Injury,Mechanical Failure,0,2,Yes,Yes,Yes,Kia,,2020,,2020
MN,County 93,3/12/21,20:47,Tuesday,Residential,Windy,Gravel,2,Sedan,Sedan,No,No,33,31.0,Female,Female,No Injury,Distracted Driving,0,0,Yes,Yes,No,Tesla,Chevrolet,2017,2019.0,2021
RI,County 37,11/15/23,0:54,Sunday,Highway,Rain,Construction Zone,5,EV,SUV,Yes,No,66,53.0,Male,Male,No Injury,Mechanical Failure,0,0,Yes,Yes,No,Kia,Tesla,2016,2000.0,2023
MA,County 17,3/3/22,18:26,Wednesday,Rural,Fog,Dry,1,EV,,Yes,,24,,Male,,Minor Injury,DUI,0,0,Yes,Yes,No,Hyundai,,2009,,2022
NC,County 99,4/30/22,13:44,Thursday,Urban,Windy,Construction Zone,5,SUV,Truck,No,No,26,55.0,Male,Male,Severe Injury,Weather,0,5,No,Yes,No,BMW,Chevrolet,2001,2007.0,2022
